${0},,
Create your first sales invoice for the created customer,Crear tu primera factura de venta para el cliente creado,
Created,Creado,
Created By,Creado Por,
Creating Items and Parties,Creando Artículos y Partes,
Creating Journal Entries,Creando Asientos de Diario,
Creating Purchase Invoices,Creando Facturas de Compra,
Credit,Crédito,
Credit Card Entry,Entrada de Tarjeta de Crédito,
Credit Note,Nota de Crédito,
Creditors,Acreedores,
Currency,Moneda,
Currency Name,Nombre de la Moneda,
Current,Actual,
Current Assets,Activos Corrientes,
Current Liabilities,Pasivos Corrientes,
Custom Field,Campo Personalizado,
Custom Fields,Campos Personalizados,
Custom Form,Formulario Personalizado,
Custom Hex,Hex Personalizado,
Customer,Cliente,
Customer Created,Cliente Creado,
Customer Currency,Moneda del Cliente,
Customers,Clientes,
Customizations,Personalizaciones,
Customize Form,Personalizar Formulario,
Customize your invoices by adding a logo and address details,Personaliza tus facturas añadiendo un logo y detalles de dirección,
Dashboard,Tablero,
Data,Datos,
Database Error,Error de Base de Datos,
Database file: ${0},Archivo de base de datos: ${0},
Date,Fecha,
Date Format,Formato de Fecha,
Date Time,Fecha y Hora,
Day,Día,
Debit,Débito,
Debit Note,Nota de Débito,
Debtors,Deudores,
December,Diciembre,
Decrease print template display scale,Disminuir escala de visualización de la plantilla de impresión,
Default,Predeterminado,
Default Account,Cuenta Predeterminada,
Default Cash Denominations,Denominaciones de Efectivo Predeterminadas,
Default Location,Ubicación Predeterminada,
Defaults,Predeterminados,
Delete,Eliminar,
Delete ${0}?,¿Eliminar ${0}?,
Delete Account,Eliminar Cuenta,
Delete Failed,Eliminación Fallida,
Delete Group,Eliminar Grupo,
Delivered,Entregado,
Denomination,Denominación,
Depreciation,Depreciación,
Depreciation Entry,Entrada de Depreciación,
Description,Descripción,
Details,Detalles,
Difference Amount,Monto de la Diferencia,
Direct Expenses,Gastos Directos,
Direct Income,Ingresos Directos,
"Directory for database file ${0} does not exist, please select the file manually","El directorio para el archivo de base de datos ${0} no existe, por favor seleccione el archivo manualmente",
Disabled,Deshabilitado,
Discount Account,Cuenta de Descuento,
Discount Account is not set.,La Cuenta de Descuento no está configurada.,
Discount Amount,Monto del Descuento,
Discount Amount (${0}) cannot be greated than Amount (${1}).,El Monto del Descuento (${0}) no puede ser mayor que el Monto (${1}).,
Discount Percent,Porcentaje de Descuento,
Discount Percent (${0}) cannot be greater than 100.,El Porcentaje de Descuento (${0}) no puede ser mayor que 100.,
Discounted Amount,Monto Descontado,
Discounts,Descuentos,
Display Doc,Mostrar Documento,
Display Logo in Invoice,Mostrar Logo en la Factura,
Display Precision,Precisión de Visualización,
Display Precision should have a value between 0 and 9.,La Precisión de Visualización debe tener un valor entre 0 y 9.,
Display Scale,Escala de Visualización,
Dividends Paid,Dividendos Pagados,
Doc ${0} ${1} not set,Doc ${0} ${1} no configurado,
Docs,Documentos,
Documentation,Documentación,
Does Not Contain,No Contiene,
Done,Hecho,
Dr.,Dr.,
Dr. ${0},Dr. ${0},
Draft,Borrador,
Duplicate,Duplicar,
Duplicate Entry,Entrada Duplicada,
Duplicate Template,Plantilla Duplicada,
Duplicate columns found: ${0},Columnas duplicadas encontradas: ${0},
Duties and Taxes,Derechos e Impuestos,
Dynamic Link,Enlace Dinámico,
Earnest Money,Dinero en Garantía,
Electronic Equipments,Equipos Electrónicos,
Email,Correo Electrónico,
Email Address,Dirección de correo electrónico,
Empty,Vacío,
Empty file selected,Archivo vacío seleccionado,
Enable Barcodes,Habilitar Códigos de Barras,
Enable Batches,Habilitar Lotes,
Enable Discount Accounting,Habilitar Contabilidad de Descuentos,
Enable Form Customization,Habilitar Personalización de Formularios,
Enable Inventory,Habilitar Inventario,
Enable Invoice Returns,Habilitar Devoluciones de Facturas,
Enable Point of Sale,Habilitar Punto de Venta,
Enable Price List,Habilitar Lista de Precios,
Enable Serial Number,Habilitar Número de Serie,
Enable Stock Returns,Habilitar Devoluciones de Inventario,
Enable UOM Conversion,Habilitar Conversión de UOM,
Enabled,Habilitado,
Enabled For,Habilitado Para,
Enter Country to load States,Ingresar País para cargar Estados,
Enter State,Ingresar Estado,
Enter barcode,Ingresar código de barras,
Entertainment Expenses,Gastos de Entretenimiento,
Entry,Entrada,
Entry Currency,Moneda de Entrada,
Entry Label,Etiqueta de Entrada,
Entry No,No de Entrada,
Entry No.,No. de Entrada,
Entry Type,Tipo de Entrada,
Entry has Grand Total ${0}. Please verify amounts.,"La entrada tiene un Total General de ${0}. Por favor, verifique los montos.",
Equity,Patrimonio,
Error,Error,
Exchange Gain/Loss,Gacia/Pérdida por Cambio,
Exchange Rate,Tipo de Cambio,
Excise Entry,Entrada de Impuestos,
Existing Company,Empresa Existente,
Expand,Expandir,
Expected Amount,Monto Esperado,
Expense,Gasto,
Expense Account,Cuenta de Gasto,
Expenses,Gastos,
Expenses Included In Valuation,Gastos Incluidos en la Valoración,
Expiry Date,Fecha de Vencimiento,
Export,Exportar,
Export Failed,Exportación Fallida,
Export Format,Formato de Exportación,
Export Successful,Exportación Exitosa,
Export Wizard,Asistente de Exportación,
Failed,Fallido,
Fax,Fax,
Features,Características,
February,Febrero,
Field,Campo,
Fieldname,Nombre del Campo,
Fieldname ${0} already exists for ${1},El nombre del campo ${0} ya existe para ${1},
Fieldname ${0} already used for Custom Field ${1},El nombre del campo ${0} ya se usa para el Campo Personalizado ${1},
Fieldtype,Tipo de Campo,
File ${0} does not exist.,El archivo ${0} no existe.,
File selection failed,Fallo en la selección del archivo,
Fill,Rellenar,
Filter,Filtro,
Fiscal Year,Año Fiscal,
Fiscal Year End Date,Fecha de Fin del Año Fiscal,
Fiscal Year Start Date,Fecha de Inicio del Año Fiscal,
Fix Failed,Reparación Fallida,
Fixed Asset,Activo Fijo,
Fixed Assets,Activos Fijos,
Float,Flotante,
Following cells have errors: ${0}.,Las siguientes celdas tienen errores: ${0}.,
Following links do not exist: ${absentLinks .map((l) =>,Los siguientes enlaces no existen: ${absentLinks .map((l) =>,
Font,Fuente,
For Purchase,Para Compra,
For Sales,Para Ventas,
Forbidden Error,Error Prohibido,
Form Section,Sección del Formulario,
Form Tab,Pestaña del Formulario,
Form Type,Tipo de Formulario,
Fr,Fr,
Fraction,Fracción,
Fraction Units,Unidades de Fracción,
Frappe Books does not have access to the selected file: ${0},Frappe Books no tiene acceso al archivo seleccionado: ${0},
Freight and Forwarding Charges,Cargos de Flete y Expedición,
From,Desde,
From Account,Desde la Cuenta,
From Date,Desde la Fecha,
From Loc.,Desde la Ubicación,
From Year,Desde el Año,
Full Name,Nombre Completo,
Furnitures and Fixtures,Muebles y Accesorios,
GST,GST,
GSTIN No.,No. GSTIN,
GSTR1,GSTR1,
GSTR2,GSTR2,
Gain/Loss on Asset Disposal,Gacia/Pérdida por Disposición de Activos,
General,General,
General Ledger,Libro Mayor General,
Get Started,Empezar,
Global,Global,
Go back to the previous page,Volver a la página anterior,
Gram,Gramo,
Grand Total,Total General,
Greater Than,Mayor Que,
Green,Verde,
Group By,Agrupar Por,
HSN/SAC,HSN/SAC,
HSN/SAC Code,Código HSN/SAC,
Half Yearly,Semestral,
Half Years,Semestres,
Has Batch,Tiene Lote,
Has Serial Number,Tiene Número de Serie,
Height (in cm),Altura (en cm),
Help,Ayuda,
Hex Value,Valor Hexadecimal,
Hidden values will be visible on Print on.,Los valores ocultos serán visibles en la impresión.,
Hide Get Started,Ocultar Empezar,
Hide Group Amounts,Ocultar Montos de Grupo,
Hide Month/Year,Ocultar Mes/Año,
Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.,Oculta la sección Empezar de la barra lateral. El cambio será visible al reiniciar o actualizar la aplicación.,
Hour,Hora,
INR,INR,
Image,Imagen,
Import Complete,Importación Completa,
Import Data,Importar Datos,
Import Data.,Importar Datos.,
Import Type,Tipo de Importación,
Import Wizard,Asistente de Importación,
"Importer not set, reload tool","Importador no configurado, recargar herramienta",
Inactive,Inactivo,
Include Cancelled,Incluir Cancelados,
Income,Ingresos,
Income Account,Cuenta de Ingresos,
Increase print template display scale,Aumentar escala de visualización de la plantilla de impresión,
Indigo,Índigo,
Indirect Expenses,Gastos Indirectos,
Indirect Income,Ingresos Indirectos,
Inflow,Entrada,
Instance Id,Id de Instancia,
Insufficient Quantity,Cantidad Insuficiente,
Insufficient Quantity.,Cantidad Insuficiente.,
Insufficient Quantity. Item ${0} has only ${1} quantities available. you selected ${2},Cantidad Insuficiente. El artículo ${0} solo tiene ${1} cantidades disponibles. seleccionaste ${2},
Int,Int,
Intergrated Tax,Impuesto Integrado,
Internal Precision,Precisión Interna,
Invalid Key Error,Error de Clave Inválida,
Invalid Quantity for Item ${0},Cantidad Inválida para el Artículo ${0},
Invalid barcode value ${0}.,Valor de código de barras inválido ${0}.,
Invalid value ${0} for ${1},Valor inválido ${0} para ${1},
Invalid value found for ${0},Valor inválido encontrado para ${0},
Inventory,Inventario,
Inventory Settings,Configuración de Inventario,
Investments,Inversiones,
Invoice,Factura,
Invoice Created,Factura Creada,
Invoice Date,Fecha de Factura,
Invoice Item,Artículo de Factura,
Invoice No,No de Factura,
Invoice No.,No. de Factura,
Invoice Value,Valor de la Factura,
Invoices,Facturas,
Is,Es,
Is Custom,Es Personalizado,
Is Empty,Está Vacío,
Is Group,Es Grupo,
Is Landscape,Es Horizontal,
Is Not,No Es,
Is Not Empty,No Está Vacío,
Is POS Shift Open,¿Está Abierto el Turno de POS?,
Is Price List Enabled,¿Está Habilitada la Lista de Precios?,
Is Required,Es Requerido,
Is Whole,Es Completo,
Item,Artículo,
Item ${0} has Zero Quantity,El artículo ${0} tiene Cantidad Cero,
Item ${0} is a batched item,El artículo ${0} es un artículo por lotes,
Item ${0} is not a batched item,El artículo ${0} no es un artículo por lotes,
Item ${0} not in Stock,El artículo ${0} no está en Stock,
Item Description,Descripción del Artículo,
Item Discounts,Descuentos del Artículo,
Item Name,Nombre del Artículo,
Item Prices,Precios del Artículo,
Item with From location not found,Artículo con ubicación de origen no encontrado,
Item with To location not found,Artículo con ubicación de destino no encontrado,
Item with barcode ${0} not found.,Artículo con código de barras ${0} no encontrado.,
Items,Artículos,
January,Enero,
John Doe,John Doe,
Journal Entries,Asientos de Diario,
Journal Entry,Asiento de Diario,
Journal Entry Account,Cuenta de Asiento de Diario,
Journal Entry Number Series,Serie de Números de Asiento de Diario,
Journal Entry Print Template,Plantilla de Impresión de Asiento de Diario,
July,Julio,
June,Junio,
Key Hints,Pistas de Claves,
Kg,Kg,
Label,Etiqueta,
Language,Idioma,
Left Index,Índice Izquierdo,
Legal Expenses,Gastos Legales,
Less Filters,Menos Filtros,
Less Than,Menor Que,
Liability,Pasivo,
Limit,Límite,
Link,Enlace,
Link Validation Error,Error de Validación de Enlace,
Linked Entries,Entradas Vinculadas,
List,Lista,
List View,Vista de Lista,
Load an existing company from your computer,Cargar una empresa existente desde tu computadora,
Loading Report...,Cargando Reporte...,
Loading instance...,Cargando instancia...,
Loading...,Cargando...,
Loans (Liabilities),Préstamos (Pasivos),
Loans and Advances (Assets),Préstamos y anticipos (activos),
Locale,Local,
Location,Ubicación,
Location Name,Nombre de la Ubicación,
Logo,Logo,
Make Entry,Hacer Entrada,
Make Payment On Submit,Realizar Pago al Enviar,
Make Purchase Receipt On Submit,Crear Recibo de Compra al Enviar,
Make Shipment On Submit,Realizar Envío al Enviar,
Mandatory Error,Error Obligatorio,
Manufacture,Fabricar,
Manufacture Date,Fecha de Fabricación,
"Mar 23, 2022","23 Mar, 2022",
March,Marzo,
Mark ${0} as submitted?,¿Marcar ${0} como enviado?,
Marketing Expenses,Gastos de Marketing,
Material Issue,Emisión de Material,
Material Receipt,Recepción de Material,
Material Transfer,Transferencia de Material,
May,Mayo,
Meter,Metro,
Misc,Varios,
Miscellaneous,Misceláneo,
Miscellaneous Expenses,Gastos Misceláneos,
Mo,Mo,
Modified,Modificado,
Modified By,Modificado Por,
Monthly,Mensual,
Months,Meses,
More,Más,
More Filters,Más Filtros,
More shortcuts will be added soon.,Se agregarán más atajos pronto.,
Movement Type,Tipo de Movimiento,
Name,Nombre,
Navigate,Navegar,
Need ${0} Serial Numbers for Item ${1}. You have provided ${2},Necesita ${0} Números de Serie para el Artículo ${1}. Has proporcionado ${2},
Net Total,Total Neto,
New ${0},Nuevo ${0},
New ${0} ${1},Nuevo ${0} ${1},
New Account,Nueva Cuenta,
New Company,Nueva Empresa,
New Entry,Nueva Entrada,
New Template,Nueva Plantilla,
No,No,
No Display Entries Found,No se encontraron entradas de visualización,
No Print Templates not found for entry type ${0},No se encontraron plantillas de impresión para el tipo de entrada ${0},
No Value,Sin Valor,
No Values to be Displayed,No hay valores para mostrar,
No entries found,No se encontraron entradas,
No entries were imported.,No se importaron entradas.,
No expenses in this period,No hay gastos en este período,
No filters selected,No se seleccionaron filtros,
No linked entries found,No se encontraron entradas vinculadas,
No results found,No se encontraron resultados,
No rows added. Select a file or add rows.,No se agregaron filas. Seleccione un archivo o agregue filas.,
No transactions yet,No hay transacciones aún,
Non Active Serial Number ${0} cannot be used as Manufacture raw material,El Número de Serie No Activo ${0} no se puede usar como materia prima de fabricación,
Non Active Serial Number ${0} cannot be used for Material Issue,El Número de Serie No Activo ${0} no se puede usar para Emisión de Material,
Non Active Serial Number ${0} cannot be used for Material Transfer,El Número de Serie No Activo ${0} no se puede usar para Transferencia de Material,
Non Inactive Serial Number ${0} cannot be used for Material Receipt,El Número de Serie No Inactivo ${0} no se puede usar para Recepción de Material,
,Ninguno,
Not Found,No Encontrado,
Not Saved,No Guardado,
Not Submitted,No Enviado,
Not Transferred,No Transferido,
Notes,Notas,
November,Noviembre,
Number Display,Visualización de Números,
Number Series,Serie de Números,
Number of ${0},Número de ${0},
Number of Rows,Número de Filas,
October,Octubre,
Office Equipments,Equipos de Oficina,
Office Maintece Expenses,Gastos de Mantenimiento de Oficina,
Office Rent,Alquiler de Oficina,
Okay,Aceptar,
Onboarding Complete,Incorporación Completa,
Only From or To can be set for Manufacture,Solo se puede configurar Desde o Hasta para Fabricación,
Open Count,Contar Abierto,
Open Documentation,Abrir Documentación,
Open Folder,Abrir Carpeta,
Open Print View,Abrir Vista de Impresión,
Open Print View if Print is available.,Abrir Vista de Impresión si la Impresión está disponible.,
Open Quick Search,Abrir Búsqueda Rápida,
Open Report Print View,Abrir Vista de Impresión del Informe,
Open the Export Wizard modal,Abrir el modal del Asistente de Exportación,
Opening (Cr),Apertura (Cr),
Opening (Dr),Apertura (Dr),
Opening Amount,Monto de Apertura,
Opening Balance Equity,Patrimonio del Balance de Apertura,
Opening Balances,Saldos de Apertura,
Opening Cash Amount can not be negative.,El Monto de Efectivo de Apertura no puede ser negativo.,
Opening Cash In Denominations,Efectivo de Apertura en Denominaciones,
Opening Date,Fecha de Apertura,
Opening Entry,Entrada de Apertura,
Options,Opciones,
Orange,Naranja,
Organisation,Organización,
Outflow,Salida,
Outstanding,Pendiente,
Outstanding Amount,Monto Pendiente,
POS,POS,
POS Counter Cash Account is not set. Please set it on POS Settings,La Cuenta de Efectivo del Mostrador POS no está configurada. Por favor configúrela en Configuración de POS,
POS Customer,Cliente POS,
POS Inventory is not set. Please set it on POS Settings,El Inventario POS no está configurado. Por favor configúrelo en Configuración de POS,
POS Settings,Configuración de POS,
POS Shift Amount,Monto del Turno POS,
POS Write Off Account is not set. Please set it on POS Settings,La Cuenta de Cancelación de POS no está configurada. Por favor configúrela en Configuración de POS,
Pad Zeros,Rellenar con Ceros,
Page,Página,
Paid,Pagado,
Paid ${0},Pagado ${0},
Paid Change,Cambio Pagado,
Parent,Padre,
Parent Account,Cuenta Principal,
Party,Parte,
Patch Run,Ejecución de Parche,
Pay,Pagar,
Payable,Pagadero,
Payment,Pago,
Payment ${0} is Saved,Pago ${0} está Guardado,
Payment For,Pago Para,
Payment Method,Método de Pago,
Payment No,No de Pago,
Payment Number Series,Serie de Números de Pago,
Payment Print Template,Plantilla de Impresión de Pago,
Payment Reference,Referencia de Pago,
Payment Type,Tipo de Pago,
Payment amount cannot be ${0}.,El monto del pago no puede ser ${0}.,
Payment amount cannot be less than zero.,El monto del pago no puede ser menor que cero.,
Payment amount cannot exceed ${0}.,El monto del pago no puede exceder ${0}.,
Payment amount: ${0} should be greater than 0.,El monto del pago: ${0} debe ser mayor que 0.,
Payment amount: ${0} should be less than Outstanding amount: ${1}.,El monto del pago: ${0} debe ser menor que el monto pendiente: ${1}.,
"Payment of ${0} will be made from account ""${1}"" to account ""${2}"" on Submit.","El pago de ${0} se realizará desde la cuenta ""${1}"" a la cuenta ""${2}"" al Enviar.",
Payments,Pagos,
Payroll Payable,Nómina A Pagar,
Pending Qty. ${0},Cantidad Pendiente. ${0},
Pending qty. ${0},cantidad pendiente. ${0},
Periodicity,Periodicidad,
Phone,Teléfono,
Pick Columns,Seleccionar Columnas,
Pick Import Columns,Seleccionar Columnas de Importación,
Pink,Rosa,
Place,Lugar,
Place of supply,Lugar de suministro,
Plants and Machineries,Plantas y Maquinarias,
Please Wait,Por favor espere,
Please check Key Hints for valid key names,"Por favor, revisa las Pistas de Claves para nombres de claves válidos",
Please create a ${0} entry to view Template Preview.,"Por favor, crea una entrada ${0} para ver la Vista Previa de la Plantilla.",
Please fill all values.,"Por favor, llena todos los valores.",
Please restart and try again.,"Por favor, reinicia e intenta de nuevo.",
Please select a Print Template,"Por favor, selecciona una Plantilla de Impresión",
Please select a valid reference type.,"Por favor, selecciona un tipo de referencia válido.",
Please set GSTIN in General Settings.,"Por favor, configura el GSTIN en Configuración General.",
Please set Round Off Account in the Settings.,"Por favor, configura la Cuenta de Redondeo en la Configuración.",
Please set a Display Doc,"Por favor, configura un Documento de Visualización",
Point of Sale,Punto de Venta,
Postal Code,Código Postal,
Postal Expenses,Gastos Postales,
Posting Date,Fecha de Publicación,
Prefix,Prefijo,
Price List,Lista de Precios,
Price List Item,Artículo de Lista de Precios,
Prime Bank,Banco Principal,
Print,Imprimir,
Print ${0},Imprimir ${0},
Print Settings,Configuración de Impresión,
Print Setup,Configuración de Impresión,
Print Template,Plantilla de Impresión,
